,userId,top_topics
0,16,"['Blockchain', 'Security', 'Android']"
1,31,"['Cloud Services', 'Cryptocurrency']"
2,39,"['Security', 'Backend Development']"
3,40,"['Machine Learning', 'Web Development']"
4,41,['Security']
5,46,['Blockchain']
6,49,"['Data Analysis', 'Web Development']"
7,50,"['Software Development', 'App Development']"
8,51,"['Android', 'Web Development']"
9,54,"['Image Processing', 'Flutter']"
10,56,['Natural Language Processing']
11,63,"['Software Development', 'Backend Development']"
12,64,"['Flutter', 'Web Development']"
13,67,['Android']
14,69,"['Web Development', 'Web3']"
15,71,['Android']
16,72,"['Android', 'Information Security']"
17,73,"['Dev Ops', 'Cloud Services']"
18,76,['Machine Learning']
19,79,"['Deep Learning', 'Web Development']"
20,80,"['Security', 'Blockchain']"
21,83,"['Cloud Services', 'Android']"
22,84,"['Dev Ops', 'Software Development']"
23,86,"['Cybersecurity', 'Blockchain']"
24,91,['Cybersecurity']
25,92,"['App Development', 'Android']"
26,95,"['Cryptocurrency', 'Flutter']"
27,98,"['Android', 'Information Security']"
28,100,['Backend Development']
29,104,"['Deep Learning', 'App Development']"
30,105,"['Machine Learning', 'Backend Development']"
31,107,['Dev Ops']
32,112,"['Cybersecurity', 'App Development']"
33,113,"['Security', 'Web Development']"
34,116,['Natural Language Processing']
35,117,['Cloud Services']
36,119,['Deep Learning']
37,120,"['Natural Language Processing', 'Backend Development']"
38,121,['App Development']
39,122,['Android']
40,127,['Cybersecurity']
41,133,"['Cloud Computing', 'App Development']"
42,134,"['Image Processing', 'Software Development']"
43,140,['Natural Language Processing']
44,142,"['Natural Language Processing', 'Web Development']"
45,159,"['Web3', 'Android']"
46,163,"['Cloud Services', 'Cloud Computing']"
47,164,"['Security', 'Software Development']"
48,165,['Cloud Computing']
49,166,['Cryptocurrency']
50,167,"['Security', 'Cybersecurity']"
51,172,"['Cloud Services', 'Web3']"
52,176,"['Software Development', 'Web Development']"
53,177,"['Cloud Services', 'Software Development']"
54,180,['Cloud Services']
55,182,['Security']
56,185,"['Blockchain', 'App Development']"
57,196,"['Image Processing', 'Deep Learning']"
58,202,['Cybersecurity']
59,206,"['Cryptocurrency', 'Web Development']"
60,208,['Deep Learning']
61,210,['Cloud Computing']
62,212,"['Flutter', 'Cryptocurrency']"
63,215,['Software Development']
64,216,"['Backend Development', 'Software Development']"
65,217,"['Flutter', 'App Development']"
66,218,"['Data Analysis', 'Flutter']"
67,220,"['Machine Learning', 'Natural Language Processing']"
68,222,['Software Development']
69,225,"['App Development', 'Machine Learning']"
70,228,"['Image Processing', 'Software Development']"
71,229,"['Deep Learning', 'App Development']"
72,234,"['Web Development', 'Machine Learning']"
73,241,"['Backend Development', 'Cybersecurity']"
74,242,['Natural Language Processing']
75,243,"['Natural Language Processing', 'Web Development']"
76,244,"['Data Analysis', 'Backend Development']"
77,251,"['Cryptocurrency', 'App Development']"
78,257,['Flutter']
79,260,"['Cybersecurity', 'Flutter']"
80,264,['Security']
81,265,"['Deep Learning', 'Flutter']"
82,266,"['Data Science', 'Natural Language Processing']"
83,267,['Cryptocurrency']
84,272,"['Blockchain', 'Web Development']"
85,275,['Data Analysis']
86,279,['Information Security']
87,282,['Android']
88,285,['Android']
89,286,['Security']
90,292,"['Security', 'Backend Development']"
91,295,"['Deep Learning', 'Data Analysis']"
92,304,"['Data Analysis', 'Backend Development']"
93,305,"['Android', 'Flutter']"
94,306,"['Cryptocurrency', 'Backend Development']"
95,309,"['Information Security', 'Web3']"
96,312,"['Web3', 'Dev Ops']"
97,314,['Flutter']
98,316,"['Artificial Intelligence', 'App Development']"
99,321,['Dev Ops']
100,324,['Cybersecurity']
101,325,['Web Development']
102,327,"['Data Analysis', 'Backend Development']"
103,331,"['Artificial Intelligence', 'Flutter']"
104,344,"['Web Development', 'Security']"
105,348,"['Web Development', 'Software Development']"
106,349,"['Cloud Services', 'Image Processing']"
107,350,"['Information Security', 'Dev Ops']"
108,357,"['Deep Learning', 'Backend Development']"
109,360,['Android']
110,363,['Software Development']
111,368,"['App Development', 'Data Analysis']"
112,373,"['Natural Language Processing', 'Machine Learning']"
113,379,"['Dev Ops', 'Machine Learning']"
114,383,"['Software Development', 'Web Development']"
115,385,"['Web Development', 'Security']"
116,393,"['Data Analysis', 'Android']"
117,394,"['Web Development', 'Blockchain']"
118,396,"['Cybersecurity', 'Backend Development']"
119,400,"['Natural Language Processing', 'Artificial Intelligence']"
120,402,['Software Development']
121,403,"['Web3', 'Information Security']"
122,406,"['Deep Learning', 'Natural Language Processing']"
123,407,"['Deep Learning', 'Backend Development']"
124,410,"['Web Development', 'Backend Development']"
125,413,"['Security', 'Android']"
126,414,"['Natural Language Processing', 'Image Processing']"
127,422,['Android']
128,427,"['Information Security', 'Web Development']"
129,442,"['Deep Learning', 'Software Development']"
130,445,"['Software Development', 'Blockchain']"
131,448,"['Cloud Services', 'Data Analysis']"
132,450,"['Web Development', 'App Development']"
133,452,"['Artificial Intelligence', 'Dev Ops']"
134,457,['Cryptocurrency']
135,458,"['Cybersecurity', 'Android']"
136,459,"['Software Development', 'Security']"
137,460,"['Flutter', 'Data Science']"
138,462,"['Flutter', 'Web Development']"
139,464,"['Web3', 'Web Development']"
140,467,"['Deep Learning', 'Data Analysis']"
141,472,['Cybersecurity']
142,475,['Dev Ops']
143,477,"['Web3', 'Cybersecurity']"
144,483,"['Flutter', 'Web Development']"
145,484,"['Security', 'Software Development']"
146,485,"['Software Development', 'Backend Development']"
147,486,"['Security', 'Software Development']"
148,489,"['Data Science', 'Deep Learning']"
149,495,"['Image Processing', 'Flutter']"
150,496,"['Natural Language Processing', 'Flutter']"
151,498,"['Image Processing', 'Software Development']"
152,499,['Dev Ops']
153,500,['Dev Ops']
154,503,"['Natural Language Processing', 'Android']"
155,505,"['Data Science', 'Software Development']"
156,506,"['Image Processing', 'Natural Language Processing']"
157,509,['App Development']
158,512,"['Web3', 'Security']"
159,514,"['Web Development', 'Web3']"
160,515,"['Cloud Services', 'Machine Learning']"
161,516,"['Software Development', 'Cryptocurrency']"
162,518,"['Software Development', 'Cybersecurity']"
163,520,"['Dev Ops', 'Android']"
164,523,"['Cryptocurrency', 'App Development']"
165,528,"['Natural Language Processing', 'Deep Learning']"
166,529,['Data Science']
167,533,['Flutter']
168,535,"['Machine Learning', 'Web Development']"
169,537,"['Information Security', 'Cryptocurrency']"
170,542,['Machine Learning']
171,546,"['Image Processing', 'Web Development']"
172,550,"['Cloud Computing', 'Web Development']"
173,556,"['Web Development', 'Flutter']"
174,558,['Web Development']
175,559,"['App Development', 'Android']"
176,560,"['Natural Language Processing', 'Artificial Intelligence']"
177,563,"['Web Development', 'Cryptocurrency']"
178,567,"['Web Development', 'Backend Development']"
179,571,['Web Development']
180,576,['Software Development']
181,582,"['Software Development', 'Backend Development']"
182,583,"['Security', 'Backend Development']"
183,586,['Web Development']
184,587,['Backend Development']
185,594,['Image Processing']
186,595,['Web Development']
187,597,"['Cloud Computing', 'Image Processing']"
188,601,"['Cryptocurrency', 'Flutter']"
189,603,"['Flutter', 'Android']"
190,608,"['App Development', 'Data Analysis']"
191,609,"['Cloud Services', 'Deep Learning']"
192,611,"['Web Development', 'Blockchain']"
193,616,"['Web3', 'Dev Ops']"
194,620,['Cybersecurity']
195,623,"['Deep Learning', 'Data Science']"
196,627,['Natural Language Processing']
197,629,"['Machine Learning', 'Cloud Computing']"
198,630,"['Information Security', 'Web Development']"
199,635,"['Deep Learning', 'Flutter']"
200,638,"['Image Processing', 'Android']"
201,648,"['Software Development', 'Backend Development']"
202,650,"['Web Development', 'Backend Development']"
203,653,['Dev Ops']
204,657,"['Image Processing', 'Web Development']"
205,665,['App Development']
206,670,"['Web Development', 'Web3']"
207,671,"['Security', 'Flutter']"
208,683,['Backend Development']
209,686,"['Backend Development', 'Data Analysis']"
210,687,['Cybersecurity']
211,688,['Cryptocurrency']
212,689,"['Machine Learning', 'Software Development']"
213,691,"['Security', 'App Development']"
214,693,"['Image Processing', 'Android']"
215,699,"['Data Science', 'Backend Development']"
216,700,"['Flutter', 'Backend Development']"
217,704,"['Data Science', 'Backend Development']"
218,718,"['Web Development', 'Deep Learning']"
219,721,"['Flutter', 'Android']"
220,725,['App Development']
221,727,['Security']
222,731,"['Information Security', 'Backend Development']"
223,735,['Web3']
224,738,['Data Analysis']
225,746,"['Cloud Computing', 'Cloud Services']"
226,756,"['App Development', 'Web Development']"
227,758,"['Deep Learning', 'Natural Language Processing']"
228,762,"['Cloud Services', 'Cybersecurity']"
229,769,['Cloud Services']
230,772,"['Cloud Services', 'Cloud Computing']"
231,773,['Security']
232,776,['Web3']
233,779,"['Deep Learning', 'Flutter']"
234,782,['Backend Development']
235,784,['Image Processing']
236,787,"['Deep Learning', 'Android']"
237,793,"['Natural Language Processing', 'Image Processing']"
238,796,"['Android', 'App Development']"
239,800,"['Security', 'Backend Development']"
240,808,"['Cloud Services', 'Software Development']"
241,809,"['Deep Learning', 'Backend Development']"
242,815,"['Data Analysis', 'Cloud Services']"
243,820,['Web Development']
244,821,"['Data Science', 'Natural Language Processing']"
245,822,['Android']
246,824,"['Data Science', 'Deep Learning']"
247,825,['Flutter']
248,826,['Android']
249,827,"['App Development', 'Data Science']"
250,829,"['Dev Ops', 'Data Science']"
251,838,['Web Development']
252,847,['Backend Development']
253,848,['Flutter']
254,857,['Data Science']
255,863,['Android']
256,866,"['Backend Development', 'Web Development']"
257,871,"['Image Processing', 'Software Development']"
258,873,"['Blockchain', 'Software Development']"
259,875,"['Web Development', 'Cybersecurity']"
260,882,"['Natural Language Processing', 'Image Processing']"
261,883,"['Artificial Intelligence', 'App Development']"
262,885,['Machine Learning']
263,893,"['Android', 'Natural Language Processing']"
264,896,"['Deep Learning', 'Backend Development']"
265,901,['Web3']
266,906,"['Data Science', 'App Development']"
267,910,['Web Development']
268,915,['Image Processing']
269,923,"['Cybersecurity', 'Security']"
270,924,"['Backend Development', 'Artificial Intelligence']"
271,925,['Web Development']
272,926,"['Natural Language Processing', 'Dev Ops']"
273,928,"['Security', 'App Development']"
274,930,"['App Development', 'Cybersecurity']"
275,931,"['Artificial Intelligence', 'Machine Learning']"
276,932,"['Flutter', 'Natural Language Processing']"
277,933,['App Development']
278,934,['Backend Development']
279,935,['Flutter']
280,936,"['Web3', 'App Development']"
281,937,['Web3']
282,941,"['Blockchain', 'Android']"
283,945,"['App Development', 'Android']"
284,951,"['Natural Language Processing', 'Android']"
285,952,"['Flutter', 'Cloud Computing']"
286,954,['Data Analysis']
287,964,"['Deep Learning', 'App Development']"
288,965,"['Web Development', 'Information Security']"
289,967,['Artificial Intelligence']
290,969,"['Backend Development', 'Image Processing']"
291,974,"['Dev Ops', 'Cybersecurity']"
292,975,"['Natural Language Processing', 'Image Processing']"
293,979,"['Backend Development', 'Information Security']"
294,980,['Web Development']
295,995,"['Information Security', 'Cryptocurrency']"
296,996,['Cloud Computing']
297,1002,"['Deep Learning', 'Artificial Intelligence']"
298,1008,"['Software Development', 'Web Development']"
299,1010,['Information Security']
300,1013,['Android']
301,1019,"['Natural Language Processing', 'Artificial Intelligence']"
302,1022,"['Machine Learning', 'Natural Language Processing']"
303,1030,"['App Development', 'Flutter']"
304,1038,"['Dev Ops', 'Cybersecurity']"
305,1065,"['Data Science', 'Machine Learning']"
306,1075,"['Backend Development', 'Web3']"
307,1096,['Image Processing']
308,1098,"['Security', 'Software Development']"
309,1105,['Cryptocurrency']
310,1111,"['Web Development', 'Web3']"
311,1112,"['Information Security', 'Security']"
312,1121,"['Web Development', 'Deep Learning']"
313,1122,['Deep Learning']
314,1125,"['Android', 'Data Analysis']"
315,1137,"['Deep Learning', 'Machine Learning']"
316,1140,['Data Science']
317,1141,"['Dev Ops', 'Machine Learning']"
318,1150,"['Web3', 'Cybersecurity']"
319,1151,"['Cloud Computing', 'Software Development']"
320,1164,"['Cloud Services', 'Flutter']"
321,1166,"['Web Development', 'Backend Development']"
322,1180,"['Dev Ops', 'Flutter']"
323,1189,['App Development']
324,1191,['Flutter']
325,1195,"['Web3', 'Android']"
326,1198,['Android']
327,1199,"['Software Development', 'Web Development']"
328,1200,"['Web3', 'Blockchain']"
329,1202,"['Software Development', 'Android']"
330,1205,['App Development']
331,1206,"['Dev Ops', 'Cloud Services']"
332,1209,"['Dev Ops', 'Blockchain']"
333,1223,"['App Development', 'Machine Learning']"
334,1231,"['Web3', 'Information Security']"
335,1232,"['Artificial Intelligence', 'Machine Learning']"
336,1234,"['App Development', 'Backend Development']"
337,1242,"['Blockchain', 'Cybersecurity']"
338,1249,"['Web3', 'Web Development']"
339,1261,['Dev Ops']
340,1265,['Android']
341,1266,"['App Development', 'Web Development']"
342,1268,['Software Development']
343,1269,['Blockchain']
344,1272,['Cloud Services']
345,1273,"['Software Development', 'Web3']"
346,1276,"['Deep Learning', 'Artificial Intelligence']"
347,1278,['Image Processing']
348,1284,['Cloud Services']
349,1285,"['Machine Learning', 'Software Development']"
350,1287,['Backend Development']
351,1295,['Web Development']
352,1296,"['Flutter', 'Security']"
353,1298,"['Data Science', 'Backend Development']"
354,1304,['Security']
355,1308,"['Deep Learning', 'Artificial Intelligence']"
356,1311,['Deep Learning']
357,1314,"['Software Development', 'Security']"
358,1318,"['Data Analysis', 'Machine Learning']"
359,1319,"['Web Development', 'Natural Language Processing']"
360,1320,"['Flutter', 'App Development']"
361,1324,"['Android', 'Flutter']"
362,1325,['Web3']
363,1327,"['Cybersecurity', 'Security']"
364,1329,"['Backend Development', 'Information Security']"
365,1333,"['Web3', 'Information Security']"
366,1335,"['Software Development', 'Backend Development']"
367,1337,"['Android', 'Data Analysis']"
368,1339,"['Cryptocurrency', 'Backend Development']"
369,1340,"['Information Security', 'Blockchain']"
370,1344,"['Information Security', 'Android']"
371,1350,"['Information Security', 'Android']"
372,1351,['Flutter']
373,1355,"['Dev Ops', 'Web Development']"
374,1358,"['Artificial Intelligence', 'Data Analysis']"
375,1361,"['Security', 'App Development']"
376,1366,['Cybersecurity']
377,1367,"['Cybersecurity', 'Cloud Computing']"
378,1371,"['Data Science', 'Data Analysis']"
379,1373,['Cybersecurity']
380,1375,['Security']
381,1377,['Flutter']
382,1380,['Data Analysis']
383,1381,"['Cloud Computing', 'Data Science']"
384,1389,"['Flutter', 'App Development']"
385,1390,"['Software Development', 'Backend Development']"
386,1397,['Cybersecurity']
387,1400,"['Software Development', 'Blockchain']"
388,1403,['Blockchain']
389,1404,"['Blockchain', 'Cybersecurity']"
390,1405,"['Flutter', 'Data Analysis']"
391,1407,['Information Security']
392,1408,"['Cryptocurrency', 'Flutter']"
393,1409,"['Software Development', 'Security']"
394,1410,['Data Science']
395,1411,['Software Development']
396,1414,['Security']
397,1416,['Data Analysis']
398,1418,"['Cloud Computing', 'Information Security']"
399,1422,"['Cloud Computing', 'Data Analysis']"
400,1425,"['Web Development', 'Software Development']"
401,1426,['Cybersecurity']
402,1428,"['Security', 'Cryptocurrency']"
403,1430,"['Deep Learning', 'Machine Learning']"
404,1432,"['App Development', 'Dev Ops']"
405,1440,"['Backend Development', 'Machine Learning']"
406,1442,"['Data Science', 'Deep Learning']"
407,1455,"['Flutter', 'Backend Development']"
408,1459,"['App Development', 'Flutter']"
409,1463,['Android']
410,1466,['Dev Ops']
411,1471,"['App Development', 'Security']"
412,1479,"['Web Development', 'Backend Development']"
413,1480,"['Flutter', 'Android']"
414,1485,"['Software Development', 'Backend Development']"
415,1490,"['Machine Learning', 'Flutter']"
416,1499,"['Flutter', 'Data Analysis']"
417,1504,"['Natural Language Processing', 'Machine Learning']"
418,1507,"['Machine Learning', 'Web Development']"
419,1514,"['Artificial Intelligence', 'Image Processing']"
420,1519,"['Cryptocurrency', 'Blockchain']"
421,1520,['Web Development']
422,1521,"['Data Analysis', 'Backend Development']"
423,1522,['Android']
424,1523,"['Information Security', 'Software Development']"
425,1524,['Dev Ops']
426,1525,"['Cybersecurity', 'Backend Development']"
427,1526,"['Natural Language Processing', 'Deep Learning']"
428,1527,['App Development']
429,1528,"['App Development', 'Flutter']"
430,1535,"['Information Security', 'Flutter']"
431,1539,"['App Development', 'Data Science']"
432,1540,['Cloud Services']
433,1542,"['Cybersecurity', 'Flutter']"
434,1545,"['Data Science', 'Data Analysis']"
435,1547,"['Flutter', 'App Development']"
436,1559,"['Web Development', 'Data Analysis']"
437,1568,"['Flutter', 'Web Development']"
438,1574,['Cybersecurity']
439,1582,"['Cloud Computing', 'App Development']"
440,1592,['Flutter']
441,1595,"['Cryptocurrency', 'Web Development']"
442,1610,['Dev Ops']
443,1611,"['Software Development', 'Backend Development']"
444,1613,"['Android', 'Flutter']"
445,1618,"['Image Processing', 'Natural Language Processing']"
446,1619,['Image Processing']
447,1620,"['Machine Learning', 'Android']"
448,1624,['Web3']
449,1626,['Security']
450,1635,['Cloud Services']
451,1640,"['Security', 'Software Development']"
452,1641,"['Natural Language Processing', 'Data Analysis']"
453,1643,['Flutter']
454,1644,"['Android', 'Flutter']"
455,1646,"['Security', 'Information Security']"
456,1647,['Artificial Intelligence']
457,1651,"['Web3', 'Web Development']"
458,1657,['Cryptocurrency']
459,1659,['Machine Learning']
460,1664,"['Cybersecurity', 'Android']"
461,1665,['Android']
462,1669,['Web Development']
463,1670,['Blockchain']
464,1673,"['Flutter', 'Cryptocurrency']"
465,1675,"['Cloud Computing', 'Dev Ops']"
466,1685,"['Web Development', 'Natural Language Processing']"
467,1689,"['Cloud Services', 'Machine Learning']"
468,1690,"['Web Development', 'Backend Development']"
469,1693,"['Information Security', 'Security']"
470,1696,"['Natural Language Processing', 'Deep Learning']"
471,1701,"['Cryptocurrency', 'App Development']"
472,1706,"['Android', 'Machine Learning']"
473,1708,"['Android', 'Flutter']"
474,1711,"['Blockchain', 'Web Development']"
475,1715,['Information Security']
476,1719,"['Cybersecurity', 'Web3']"
477,1722,"['Dev Ops', 'Web Development']"
478,1726,"['App Development', 'Backend Development']"
479,1733,"['Web Development', 'Artificial Intelligence']"
480,1735,"['Cryptocurrency', 'Android']"
481,1741,['Data Analysis']
482,1756,['Software Development']
483,1758,"['Backend Development', 'Web Development']"
484,1760,['App Development']
485,1763,"['Cybersecurity', 'Blockchain']"
486,1765,['Deep Learning']
487,1769,['Web3']
488,1771,"['Backend Development', 'Android']"
489,1776,"['Software Development', 'Backend Development']"
490,1777,"['Flutter', 'Android']"
491,1783,"['Deep Learning', 'Web Development']"
492,1785,"['Machine Learning', 'Image Processing']"
493,1791,"['Data Analysis', 'Natural Language Processing']"
494,1793,"['Web Development', 'Information Security']"
495,1794,"['App Development', 'Artificial Intelligence']"
496,1796,"['App Development', 'Android']"
497,1797,"['Data Science', 'Flutter']"
498,1801,['Dev Ops']
499,1805,"['Cryptocurrency', 'Web Development']"
500,1806,['App Development']
501,1808,['Web3']
502,1810,"['Information Security', 'Security']"
503,1811,['Web3']
504,1813,"['Dev Ops', 'Natural Language Processing']"
505,1814,"['Natural Language Processing', 'App Development']"
506,1816,"['Data Analysis', 'Flutter']"
507,1823,"['Information Security', 'Cloud Computing']"
508,1827,"['Android', 'Backend Development']"
509,1829,"['Blockchain', 'Security']"
510,1834,"['Deep Learning', 'Natural Language Processing']"
511,1837,['Data Science']
512,1850,['Cloud Services']
513,1853,['Blockchain']
514,1859,"['Cloud Services', 'Data Science']"
515,1867,['Software Development']
516,1875,"['Web3', 'Dev Ops']"
517,1881,"['Natural Language Processing', 'Flutter']"
518,1883,['Security']
519,1892,"['Blockchain', 'Backend Development']"
520,1899,['Security']
521,1900,"['Android', 'Flutter']"
522,1901,"['Image Processing', 'Android']"
523,1906,['Backend Development']
524,1911,['App Development']
525,1913,['Android']
526,1915,"['Security', 'Backend Development']"
527,1917,"['Data Analysis', 'Software Development']"
528,1918,"['Flutter', 'App Development']"
529,1922,['App Development']
530,1923,"['Deep Learning', 'Flutter']"
531,1925,"['Android', 'Flutter']"
532,1929,"['App Development', 'Data Analysis']"
533,1932,"['Android', 'Backend Development']"
534,1934,"['Information Security', 'Backend Development']"
535,1939,['Software Development']
536,1942,"['Blockchain', 'Cybersecurity']"
537,1949,['Information Security']
538,1951,['Natural Language Processing']
539,1956,"['Web Development', 'Software Development']"
540,1959,"['Backend Development', 'Security']"
541,1960,"['Software Development', 'Backend Development']"
542,1964,"['Natural Language Processing', 'Web Development']"
543,1965,"['Android', 'App Development']"
544,1967,"['Information Security', 'App Development']"
545,1968,"['Software Development', 'Blockchain']"
546,1972,"['Software Development', 'Backend Development']"
547,1973,"['Cloud Computing', 'Software Development']"
548,1974,['Cryptocurrency']
549,1978,"['Blockchain', 'Flutter']"
550,1980,"['Cryptocurrency', 'Software Development']"
551,1983,['Cryptocurrency']
552,1988,['Android']
553,1989,"['Deep Learning', 'Backend Development']"
554,1991,"['Software Development', 'App Development']"
555,1992,"['Dev Ops', 'Security']"
556,1994,"['Dev Ops', 'App Development']"
557,1999,"['Flutter', 'App Development']"
558,2001,"['Artificial Intelligence', 'Deep Learning']"
559,2003,['Software Development']
560,2010,"['Data Analysis', 'Flutter']"
561,2012,['Information Security']
562,2016,"['Blockchain', 'Flutter']"
563,2017,"['App Development', 'Information Security']"
564,2018,['Security']
565,2022,['Software Development']
566,2025,"['Android', 'Flutter']"
567,2034,"['Dev Ops', 'App Development']"
568,2040,"['Data Science', 'Flutter']"
569,2041,"['Android', 'App Development']"
570,2046,['Data Science']
571,2047,"['Cybersecurity', 'Web Development']"
572,2055,['Deep Learning']
573,2058,"['Image Processing', 'Web Development']"
574,2061,"['Data Science', 'Natural Language Processing']"
575,2064,"['Data Analysis', 'Natural Language Processing']"
576,2065,"['Flutter', 'Android']"
577,2067,"['Web3', 'Backend Development']"
578,2070,"['Backend Development', 'Android']"
579,2071,"['Cryptocurrency', 'Flutter']"
580,2075,['App Development']
581,2077,"['Natural Language Processing', 'Flutter']"
582,2081,['Deep Learning']
583,2083,"['Flutter', 'Cybersecurity']"
584,2087,['App Development']
585,2099,"['Android', 'Flutter']"
586,2100,"['Android', 'Backend Development']"
587,2103,['Artificial Intelligence']
588,2108,"['Web Development', 'App Development']"
589,2114,['Flutter']
590,2115,"['Security', 'Software Development']"
591,2117,"['Cryptocurrency', 'Web3']"
